,Number of ratings,Full Review
0,5,"Good phone at this price point
Camera is by far the best among all other phones. Wide angle lens is quite accurate with colours and distortion is manageable. Portrait AI is good. HDR gives a sense of false positivity but makes the picture looks better compared to a dslr.
iOS doesn't hang and makes multitasking pretty easy.
Battery is ok. Extensive user like me (9-10h) screen time needs to charge twice daily.considering the usage its ok.
Screen size and display is awesome. Fits into jeans eas..."
1,5,"Awesome Purchase…
Firstly, thank you Flipkart for delivering fast and genuine product…
I’ve been always fan of apple’s products since my college days. Earlier I was using IPhone 7 and skipped other series of IPhone and jumped directly in 12 series. Just go for it without hesitation."
2,5,Very nice product... i am fully satisfied thankyou to Flipkart for delivering me this wonderful product in safe and an affordable price
3,5,"Apple iPhone 12 mini is incredible, peaceful to hold on one hand and type a message or browse a website, screen size is bigger, i think the phone size is perfect for me, i was using iPhone SE, it was small as this phone, but screen size was quite small, for me this is the perfect phone.
See those incredible pics."
4,5,Switched from android.Truecaller not working fully.camera is awesome especially video whether taken in day or night.battery optimisation is great and do buy 20w charger it charges really quick .Itunes to be installed in pc for data transfer.buy cover as it can slip any moment if not careful.Bluetooth works fine.Speaker Sound quality is good u can feel the beats and depth.Apps size is large compared to android so buying 64gb variant makes no sense.Overall I am very satisfied as I needed a hand...
5,4,"Superb nice phone mini compact
But small problem without charger with the box is the problem
Overall best phone but battery capacity is only 6hrs a day."
6,5,"As I am iPhone user since 2010 and up till now using it.Almost a decade I haven’t face any problem. One can trust blindly ❤️ this time I purchase online with having doubts but when I received my parcel just loved it.Flipkart maintained the trust. I went to the Apple store to check the originality and warranty and I satisfied and Happily...
Thank you Flipkart"
7,5,"If you're in the market for a compact phone with probably the best cameras in a phone today, that does not sacrifice on performance or any of the flagship features then your decision must start and end with an iPhone. First of all Apple has created something that is a throwback to the best smartphones ever designed - the iphone 5 and 5S. While doing so Apple made sure that it did not compromise on power or performance. The 12 mini has all the features (ALL OF THEM!) of the bigger iPhone 12 - ..."
8,5,"The product is good, there isn’t any much of new features it’s same as previous but the camera quality has been upgraded and the phone is very handy and I love that, basically that’s the Main reason why I bought this phone that’s all, when you have all features in a small handy product! What else you need :D
I felt the performance is bit slow as compared to one plus phones, but never the less iPhone is an iPhone lol, go for it. Legit product delivered by Flipkart, no defaults or scams, good..."
9,5,After using android phone last 8 year... this is my first iPhone and just love it ... so smooth and premium performance. Seriously you will never experience this kind of amazing performance from any android phone
